Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Effective Date1,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.,Customer1,UnMatched
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,MI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,486 HAZELDEAN ROAD,,,,,,,0,,,,,,,07/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,BI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,486 HAZELDEAN ROAD,,,,,,,0,,,,,,,08/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,MI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,486 HAZELDEAN ROAD,,,,,,,0,,,,,,,09/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,AI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,486 HAZELDEAN ROAD,,,,,,,0,,,,,,,10/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,MI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,486 HAZELDEAN ROAD,,,,,,,0,,,,,,,11/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,BI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,486 HAZELDEAN ROAD,,,,,,,0,,,,,,,12/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,MI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,484 HAZELDEAN ROAD,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,BI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,484 HAZELDEAN ROAD,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,MI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,484 HAZELDEAN ROAD,,,,,,,0,,,,,,,03/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,SAI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,484 HAZELDEAN ROAD,,,,,,,0,,,,,,,04/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,MI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,484 HAZELDEAN ROAD,,,,,,,0,,,,,,,05/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,BI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,484 HAZELDEAN ROAD,,,,,,,0,,,,,,,06/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,MI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,484 HAZELDEAN ROAD,,,,,,,0,,,,,,,07/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,BI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,484 HAZELDEAN ROAD,,,,,,,0,,,,,,,08/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,MI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,484 HAZELDEAN ROAD,,,,,,,0,,,,,,,09/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,AI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,484 HAZELDEAN ROAD,,,,,,,0,,,,,,,10/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,MI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,484 HAZELDEAN ROAD,,,,,,,0,,,,,,,11/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,"Annual, Monthly and Bi-Monthly Inspections of various devices.-T-HAZELDEAN HOLDING LTD.",18-1650,NXS#V0012531-E4856,BI,100058,,04/24/2017,01/01/2020,01/01/2020,,,,,,,,,,484 HAZELDEAN ROAD,,,,,,,0,,,,,,,12/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100058,NA
,,,Inspections-WILLIAMS LITIGATION LAWYERS,18-1651,,AI,100329,,05/22/2019,01/01/2020,01/01/2020,,,,,,,,,,169 GILMOUR STREET,,,,,,,0,,,,,,,10/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100329,NA
,,,Inspections-RICHMOND HEIGHTS APARTMENTS,18-1654,,AI,100201,,05/22/2019,01/01/2020,01/01/2020,,,,,,,,,,2841 RICHMOND ROAD,,,,,,,0,,,,,,,10/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100201,NA
,,,Inspections-CHILDREN'S AID SOCIETY,18-1698,,AI,NA,,05/22/2019,01/01/2020,01/01/2020,,,,,,,,,,150 BOUNDARY ROAD,,,,,,,0,,,,,,,11/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,CHILDREN'S AID SOCIETY
,,,Inspections-JOSE GONCALVES,18-1700,,AI,100198,,05/22/2019,01/01/2020,01/01/2020,,,,,,,,,,65 LUCIEN-BRAULT,,,,,,,0,,,,,,,11/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100198,NA
,,,Inspections-REGIONAL GROUP OF COMPANIES INC,18-1703JP,,BI,NA,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,1550 CARLING/1451 COLDREY,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,REGIONAL GROUP OF COMPANIES INC
,,,Inspections-REGIONAL GROUP OF COMPANIES INC,18-1703JP,,MI,NA,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,1550 CARLING/1451 COLDREY,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,REGIONAL GROUP OF COMPANIES INC
,,,Inspections-REGIONAL GROUP OF COMPANIES INC,18-1703JP,,BI,NA,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,1550 CARLING/1451 COLDREY,,,,,,,0,,,,,,,03/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,REGIONAL GROUP OF COMPANIES INC
,,,Inspections-REGIONAL GROUP OF COMPANIES INC,18-1703JP,,MI,NA,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,1550 CARLING/1451 COLDREY,,,,,,,0,,,,,,,04/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,REGIONAL GROUP OF COMPANIES INC
,,,Inspections-REGIONAL GROUP OF COMPANIES INC,18-1703JP,,SAI,NA,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,1550 CARLING/1451 COLDREY,,,,,,,0,,,,,,,05/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,REGIONAL GROUP OF COMPANIES INC
,,,Inspections-REGIONAL GROUP OF COMPANIES INC,18-1703JP,,MI,NA,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,1550 CARLING/1451 COLDREY,,,,,,,0,,,,,,,06/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,REGIONAL GROUP OF COMPANIES INC
,,,Inspections-REGIONAL GROUP OF COMPANIES INC,18-1703JP,,BI,NA,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,1550 CARLING/1451 COLDREY,,,,,,,0,,,,,,,07/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,REGIONAL GROUP OF COMPANIES INC
,,,Inspections-REGIONAL GROUP OF COMPANIES INC,18-1703JP,,MI,NA,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,1550 CARLING/1451 COLDREY,,,,,,,0,,,,,,,08/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,REGIONAL GROUP OF COMPANIES INC
,,,Inspections-REGIONAL GROUP OF COMPANIES INC,18-1703JP,,BI,NA,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,1550 CARLING/1451 COLDREY,,,,,,,0,,,,,,,09/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,REGIONAL GROUP OF COMPANIES INC
,,,Inspections-REGIONAL GROUP OF COMPANIES INC,18-1703JP,,MI,NA,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,1550 CARLING/1451 COLDREY,,,,,,,0,,,,,,,10/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,REGIONAL GROUP OF COMPANIES INC
,,,Inspections-REGIONAL GROUP OF COMPANIES INC,18-1703JP,,AI,NA,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,1550 CARLING/1451 COLDREY,,,,,,,0,,,,,,,11/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,REGIONAL GROUP OF COMPANIES INC
,,,Inspections-REGIONAL GROUP OF COMPANIES INC,18-1703JP,,MI,NA,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,1550 CARLING/1451 COLDREY,,,,,,,0,,,,,,,12/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,REGIONAL GROUP OF COMPANIES INC
,,,Inspections-REGIONAL GROUP OF COMPANIES INC,18-1703JP,,SAI,NA,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,1550 CARLING/1451 COLDREY,,,,,,,0,,,,,,,05/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,REGIONAL GROUP OF COMPANIES INC
,,,Inspections-OLIVIA ALBERTO,18-1733,,AI,100349,,05/22/2019,01/01/2020,01/01/2020,,,,,,,,,,374 CRETE PLACE,,,,,,,0,,,,,,,10/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100349,NA
,,,Inspections-SEC 381 KENT,18-1755,,AI,NA,,03/04/2019,01/01/2020,01/01/2020,,,,,,,,,,"381 KENT STREET, KENT MEDICAL BLDG.",,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,SEC 381 KENT
,,,Inspections-SEC 381 KENT,18-1755,,MI,NA,,03/04/2019,01/01/2020,01/01/2020,,,,,,,,,,"381 KENT STREET, KENT MEDICAL BLDG.",,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,SEC 381 KENT
,,,Inspections-SEC 381 KENT,18-1755,,BI,NA,,03/04/2019,01/01/2020,01/01/2020,,,,,,,,,,"381 KENT STREET, KENT MEDICAL BLDG.",,,,,,,0,,,,,,,03/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,SEC 381 KENT
,,,Inspections-SEC 381 KENT,18-1755,,MI,NA,,03/04/2019,01/01/2020,01/01/2020,,,,,,,,,,"381 KENT STREET, KENT MEDICAL BLDG.",,,,,,,0,,,,,,,04/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,SEC 381 KENT
,,,Inspections-SEC 381 KENT,18-1755,,BI,NA,,03/04/2019,01/01/2020,01/01/2020,,,,,,,,,,"381 KENT STREET, KENT MEDICAL BLDG.",,,,,,,0,,,,,,,05/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,SEC 381 KENT
,,,Inspections-SEC 381 KENT,18-1755,,MI,NA,,03/04/2019,01/01/2020,01/01/2020,,,,,,,,,,"381 KENT STREET, KENT MEDICAL BLDG.",,,,,,,0,,,,,,,06/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,SEC 381 KENT
,,,Inspections-SEC 381 KENT,18-1755,,BI,NA,,03/04/2019,01/01/2020,01/01/2020,,,,,,,,,,"381 KENT STREET, KENT MEDICAL BLDG.",,,,,,,0,,,,,,,07/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,SEC 381 KENT
,,,Inspections-SEC 381 KENT,18-1755,,MI,NA,,03/04/2019,01/01/2020,01/01/2020,,,,,,,,,,"381 KENT STREET, KENT MEDICAL BLDG.",,,,,,,0,,,,,,,08/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,SEC 381 KENT
,,,Inspections-SEC 381 KENT,18-1755,,BI,NA,,03/04/2019,01/01/2020,01/01/2020,,,,,,,,,,"381 KENT STREET, KENT MEDICAL BLDG.",,,,,,,0,,,,,,,09/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,SEC 381 KENT
,,,Inspections-SEC 381 KENT,18-1755,,MI,NA,,03/04/2019,01/01/2020,01/01/2020,,,,,,,,,,"381 KENT STREET, KENT MEDICAL BLDG.",,,,,,,0,,,,,,,10/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,SEC 381 KENT
,,,Inspections-SEC 381 KENT,18-1755,,BI,NA,,03/04/2019,01/01/2020,01/01/2020,,,,,,,,,,"381 KENT STREET, KENT MEDICAL BLDG.",,,,,,,0,,,,,,,11/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,SEC 381 KENT
,,,Inspections-SEC 381 KENT,18-1755,,MI,NA,,03/04/2019,01/01/2020,01/01/2020,,,,,,,,,,"381 KENT STREET, KENT MEDICAL BLDG.",,,,,,,0,,,,,,,12/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,SEC 381 KENT
,,,Inspections-CUPW,18-1757JP,,BI,100046,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,377 BANK STREET,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100046,NA
,,,Inspections-CUPW,18-1757JP,,MI,100046,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,377 BANK STREET,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100046,NA
,,,Inspections-CUPW,18-1757JP,,BI,100046,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,377 BANK STREET,,,,,,,0,,,,,,,03/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100046,NA
,,,Inspections-CUPW,18-1757JP,,MI,100046,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,377 BANK STREET,,,,,,,0,,,,,,,04/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100046,NA
,,,Inspections-CUPW,18-1757JP,,SAI,100046,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,377 BANK STREET,,,,,,,0,,,,,,,05/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100046,NA
,,,Inspections-CUPW,18-1757JP,,MI,100046,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,377 BANK STREET,,,,,,,0,,,,,,,06/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100046,NA
,,,Inspections-CUPW,18-1757JP,,BI,100046,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,377 BANK STREET,,,,,,,0,,,,,,,07/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100046,NA
,,,Inspections-CUPW,18-1757JP,,MI,100046,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,377 BANK STREET,,,,,,,0,,,,,,,08/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100046,NA
,,,Inspections-CUPW,18-1757JP,,BI,100046,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,377 BANK STREET,,,,,,,0,,,,,,,09/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100046,NA
,,,Inspections-CUPW,18-1757JP,,MI,100046,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,377 BANK STREET,,,,,,,0,,,,,,,10/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100046,NA
,,,Inspections-CUPW,18-1757JP,,AI,100046,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,377 BANK STREET,,,,,,,0,,,,,,,11/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100046,NA
,,,Inspections-CUPW,18-1757JP,,MI,100046,,03/09/2017,01/01/2020,01/01/2020,,,,,,,,,,377 BANK STREET,,,,,,,0,,,,,,,12/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100046,NA
,,,Inspections-ENTRUST DATACARD,18-1814,,SAI,100136,,05/02/2019,01/01/2020,01/01/2020,,,,,,,,,,1000 INNOVATION DRIVE,,,,,,,0,,,,,,,06/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100136,NA
,,,Inspections-BROOKFIELD PROPERTIES CORPORATION,18-1816JP,,BI,NA,,01/27/2017,01/01/2020,01/01/2020,,,,,,,,,,1667 MERIVALE ROAD,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,BROOKFIELD PROPERTIES CORPORATION
,,,Inspections-BROOKFIELD PROPERTIES CORPORATION,18-1816JP,,BI,NA,,01/27/2017,01/01/2020,01/01/2020,,,,,,,,,,1667 MERIVALE ROAD,,,,,,,0,,,,,,,04/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,BROOKFIELD PROPERTIES CORPORATION
,,,Inspections-BROOKFIELD PROPERTIES CORPORATION,18-1816JP,,BI,NA,,01/27/2017,01/01/2020,01/01/2020,,,,,,,,,,1667 MERIVALE ROAD,,,,,,,0,,,,,,,06/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,BROOKFIELD PROPERTIES CORPORATION
,,,Inspections-BROOKFIELD PROPERTIES CORPORATION,18-1816JP,,BI,NA,,01/27/2017,01/01/2020,01/01/2020,,,,,,,,,,1667 MERIVALE ROAD,,,,,,,0,,,,,,,08/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,BROOKFIELD PROPERTIES CORPORATION
,,,Inspections-BROOKFIELD PROPERTIES CORPORATION,18-1816JP,,BI,NA,,01/27/2017,01/01/2020,01/01/2020,,,,,,,,,,1667 MERIVALE ROAD,,,,,,,0,,,,,,,10/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,BROOKFIELD PROPERTIES CORPORATION
,,,Inspections-BROOKFIELD PROPERTIES CORPORATION,18-1816JP,,AI,NA,,01/27/2017,01/01/2020,01/01/2020,,,,,,,,,,1667 MERIVALE ROAD,,,,,,,0,,,,,,,12/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,BROOKFIELD PROPERTIES CORPORATION
,,,Inspections-GLENGARRY MEMORIAL HOSPITAL,18-1822,,SAI,100109,,05/01/2019,01/01/2020,01/01/2020,,,,,,,,,,20260 COUNTY ROAD #43,,,,,,,0,,,,,,,06/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100109,NA
,,,Inspections-GLENGARRY MEMORIAL HOSPITAL,18-1822,,AI,100109,,05/01/2019,01/01/2020,01/01/2020,,,,,,,,,,20260 COUNTY ROAD #43,,,,,,,0,,,,,,,12/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,100109,NA
,,,Inspections-HUNTINGTON PROPERTIES,181596,,AI,NA,,05/21/2019,01/01/2020,01/01/2020,,,,,,,,,,72 RUE LAVAL,,,,,,,0,,,,,,,09/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,HUNTINGTON PROPERTIES
,,,Inspections-HUNTINGTON PROPERTIES,181596,,MI,NA,,05/21/2019,01/01/2020,01/01/2020,,,,,,,,,,1306 WELLINGTON ST. W.,,,,,,,0,,,,,,,01/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,HUNTINGTON PROPERTIES
,,,Inspections-HUNTINGTON PROPERTIES,181596,,MI,NA,,05/21/2019,01/01/2020,01/01/2020,,,,,,,,,,1306 WELLINGTON ST. W.,,,,,,,0,,,,,,,02/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,HUNTINGTON PROPERTIES
,,,Inspections-HUNTINGTON PROPERTIES,181596,,MI,NA,,05/21/2019,01/01/2020,01/01/2020,,,,,,,,,,1306 WELLINGTON ST. W.,,,,,,,0,,,,,,,03/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,HUNTINGTON PROPERTIES
,,,Inspections-HUNTINGTON PROPERTIES,181596,,MI,NA,,05/21/2019,01/01/2020,01/01/2020,,,,,,,,,,1306 WELLINGTON ST. W.,,,,,,,0,,,,,,,04/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,HUNTINGTON PROPERTIES
,,,Inspections-HUNTINGTON PROPERTIES,181596,,MI,NA,,05/21/2019,01/01/2020,01/01/2020,,,,,,,,,,1306 WELLINGTON ST. W.,,,,,,,0,,,,,,,05/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,HUNTINGTON PROPERTIES
,,,Inspections-HUNTINGTON PROPERTIES,181596,,MI,NA,,05/21/2019,01/01/2020,01/01/2020,,,,,,,,,,1306 WELLINGTON ST. W.,,,,,,,0,,,,,,,06/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,HUNTINGTON PROPERTIES
,,,Inspections-HUNTINGTON PROPERTIES,181596,,AI,NA,,05/21/2019,01/01/2020,01/01/2020,,,,,,,,,,1306 WELLINGTON ST. W.,,,,,,,0,,,,,,,07/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,HUNTINGTON PROPERTIES
,,,Inspections-HUNTINGTON PROPERTIES,181596,,MI,NA,,05/21/2019,01/01/2020,01/01/2020,,,,,,,,,,1306 WELLINGTON ST. W.,,,,,,,0,,,,,,,08/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,HUNTINGTON PROPERTIES
,,,Inspections-HUNTINGTON PROPERTIES,181596,,MI,NA,,05/21/2019,01/01/2020,01/01/2020,,,,,,,,,,1306 WELLINGTON ST. W.,,,,,,,0,,,,,,,09/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,HUNTINGTON PROPERTIES
,,,Inspections-HUNTINGTON PROPERTIES,181596,,MI,NA,,05/21/2019,01/01/2020,01/01/2020,,,,,,,,,,1306 WELLINGTON ST. W.,,,,,,,0,,,,,,,10/01/2020,,,,,,,,,,,,01/01/2020,,,,01/01/2020,,,,,,,,01/01/2020,,,NA,HUNTINGTON PROPERTIES
